Season,Species,Model,R2_Mean,R2_SD,MSE_Mean,MSE_SD,ExplainVar_Mean,ExplainVar_SD
autumn,loli,ANN,-0.052669664733474494,0.9147580227972918,4.029486027195641,3.451877802434809,0.06103838987516891,0.7888183527686919
autumn,loli,GBDT,0.5119771642159815,0.0884803739456193,1.8648881514521194,0.3455226541485956,0.5205832636827006,0.08739285734100853
autumn,loli,KNN,0.5015162600487331,0.1043989336137979,1.908775305462058,0.42609668559056463,0.511134882000877,0.10573476779363515
autumn,loli,RF,0.5225472076303201,0.08981304044050636,1.8254183870201774,0.35441998649571843,0.5316999219403729,0.09059136545262957
autumn,loli,SVM,0.4874883397895413,0.0817037977167577,1.9664344343892282,0.36603390261669616,0.4969230351340218,0.08213184206327127
autumn,loli,XGB,0.5234641865835147,0.09110685104111386,1.8206963730398993,0.35407157658208915,0.5322569335372133,0.09056292300404747
autumn,sep,ANN,-0.38856910832760483,1.198019117109197,4.631705144612216,4.148514925345397,-0.250391948273803,1.099774278389759
autumn,sep,GBDT,0.36481170817486974,0.1344676331688271,2.1028641366916148,0.38925522400404605,0.37713902209812694,0.1255092245392005
autumn,sep,KNN,0.3872766335283505,0.11979793780137771,2.026959717660738,0.33362630545880134,0.39870909220073486,0.11434635746028105
autumn,sep,RF,0.4228080758637558,0.12394874154091406,1.9095926772714134,0.3547083672915998,0.43436950416941306,0.11595404921741793
autumn,sep,SVM,0.24156033788684142,0.12049359021847063,2.528725412359038,0.46118811446855484,0.2641058816433898,0.12138952141219714
autumn,sep,XGB,0.36161366629539854,0.13731473018865578,2.112103557950339,0.3919621151116612,0.37340991992144656,0.1279747799479427
spring,loli,ANN,-0.718744076702172,1.2479320363118982,2.5301693765394315,1.7814334556760507,-0.43435077150030355,0.9045631989895934
spring,loli,GBDT,0.1975692797082428,0.07514257907288781,1.1913751477056786,0.14879694441617605,0.20542428226979426,0.07416933151884544
spring,loli,KNN,0.20994338789913222,0.09086235653363162,1.1725616011631024,0.1635849102371903,0.21864671008149816,0.08972441656378538
spring,loli,RF,0.23120321282376602,0.07396308020697079,1.1420799413863207,0.15022311299795957,0.23904089277519458,0.0729351725132941
spring,loli,SVM,0.20389142141734937,0.07340755706897968,1.181638818145075,0.14387895610779564,0.2149554207919973,0.07260612537494139
spring,loli,XGB,0.1912682356087009,0.08061601059282462,1.20072311246066,0.1559155824662023,0.19908116291982633,0.07949461275940796
spring,sep,ANN,-0.7043208393794859,1.2060641994341552,2.613148228778028,2.0403980279827736,-0.4039124267735098,0.8159963220683317
spring,sep,GBDT,0.3652470696813559,0.09795942481590111,0.9586990970915226,0.16028912196788123,0.37386138407756797,0.09436542609268696
spring,sep,KNN,0.4397776126939785,0.10095115096357785,0.8441842373774778,0.14759145581779318,0.45032077776774543,0.09249703791997477
spring,sep,RF,0.41489684512928965,0.09676828393463988,0.883562376450394,0.15623181744091322,0.4230063409506132,0.09280475076910782
spring,sep,SVM,0.21111397287378125,0.061522362887561965,1.2057653185193837,0.22369581081479106,0.23780015624772638,0.059208544918345575
spring,sep,XGB,0.37377787580471755,0.10065821783175329,0.9454365434437072,0.1619651296833739,0.3820349403298256,0.09801930663123054
