,Year,Month,Nominal CPUE,RF,XGBoost,GBDT
0,2019,4,0.0,1.9631982317072814,2.1587443,2.0628704852963855
1,2017,4,2.613006652415316,2.4235834158347482,2.7562363,2.4430228170622317
2,2019,4,0.0,2.21947855063919,1.7558618,2.088455541062504
3,2016,4,2.321406847234633,0.9669501977737619,0.19581956,0.5596973049298374
4,2014,4,2.1333886162196247,2.7204566164848316,2.6904252,2.586886737760582
5,2018,4,0.0,2.453527280225453,2.3234558,2.236659210458495
6,2019,4,0.0,1.9502256299302405,0.9541774,2.4072618125025596
7,2016,4,2.753023566744941,2.608875140358833,3.3974383,3.116592329738657
8,2016,4,0.8329091229351039,1.2453233042386307,0.99180317,1.3933721465492006
9,2014,4,3.4952074997826923,2.4252519438889215,2.838146,2.386178414839571
10,2016,4,2.2793164660546914,2.210402822578043,2.0625145,2.184755787844882
11,2015,4,0.0,2.4032236402878207,2.0487113,2.2614041335388597
12,2017,4,2.0515563381903004,2.2709642859556514,2.1161907,1.9176798411891327
13,2014,4,0.0,2.245280784457954,2.061522,2.299217205451382
14,2015,4,3.9993010135352067,2.598188753393029,2.335731,2.286177508433688
15,2015,4,1.0612565021243408,0.7045310519596218,0.7700828,1.390015785669538
16,2019,4,1.2917642424637423,2.3622458578468177,1.4235244,2.0318477740973977
17,2016,4,2.70805020110221,1.8175230389213224,1.5862347,1.6525219615192712
18,2019,4,0.0,0.6022649887206452,0.7006603,1.245642212514563
19,2019,4,0.8210415470895961,1.4797519797885186,1.7271641,1.8567430020871523
20,2017,4,1.0296194171811581,2.647224297268534,1.4834087,2.610035647354279
21,2019,4,0.0,1.6700929099143662,0.22387363,1.7178791233530073
22,2016,4,1.5830939370944985,2.8161308410568435,2.176577,2.3189549464086125
23,2017,4,2.4612967841488667,2.571103169178757,2.3863657,2.516442207821292
24,2017,4,1.6253112615903906,1.9789524430751597,2.1468775,1.6049870819056613
25,2018,4,0.0,1.283681763133977,0.16758226,1.1514038659565788
26,2015,4,2.3850863145057892,2.527076319493468,2.220994,2.787844822249402
27,2019,4,0.0,1.8595728403378848,1.6157472,1.0801070224948308
28,2018,4,1.2037824379073991,1.8072726537026158,2.0332816,2.064148762479154
29,2018,4,0.5158131652770298,2.34519086275064,2.0959487,2.016007474333347
30,2019,4,0.0,0.25830021076955745,0.5846528,0.7890617741664275
31,2018,4,2.173913629474053,2.72422782683989,3.4121454,2.723200601154683
32,2019,4,1.6211095332945016,2.229304495856659,1.88451,2.0106467808262236
33,2018,4,0.0,2.197976106801916,1.7140446,1.9918030712930972
34,2016,4,0.0,1.113853982347634,0.8118768,1.3559018922949593
35,2017,4,1.3137236682850553,0.33247163593385337,0.5888247,0.293638650381287
36,2017,4,0.8415671856782188,1.8150169772670188,1.9714361,1.6566978670846015
37,2018,4,1.8105668376929405,2.1283670505189316,1.7584975,2.174290032325913
38,2015,4,4.224348908792687,2.707853883035902,2.5406258,2.7954181175352777
39,2014,4,3.4165770141441505,2.8611210615657563,2.0233798,2.694143548111007
40,2017,4,2.4042387467205457,2.35667254135067,2.3342628,2.1203356308523813
41,2018,4,2.0292003174880944,2.5045447638867757,2.4113314,2.107254365926871
42,2018,4,0.0,1.3910119527176308,1.0557293,1.3258692834279324
43,2015,4,0.0,1.01102911237423,1.2047371,1.4370048283792376
44,2019,4,0.21559167957703151,1.9355103953187693,1.9193178,1.9195824693811319
45,2014,4,3.508162305169108,2.745675696020857,2.3954458,2.3203782601091056
46,2018,4,0.3043322883221171,1.961098555030152,1.5960066,1.4389123626053033
47,2017,4,2.300583090323373,3.0076368346144804,3.150243,2.9553189020535844
48,2018,4,0.0,2.197976106801916,1.7140446,1.9918030712930972
49,2018,4,0.0,1.7985906480726768,1.6733177,1.8061720385139723
50,2014,4,1.1836581568658016,2.9965279187970992,3.1152909,2.6714891755882917
51,2016,4,1.5717360452500888,2.08046101565939,2.277596,2.1987187498269973
52,2014,4,0.0,2.6190608951175185,2.75026,2.550043326949012
53,2015,4,2.1656192379208883,2.9018306366832363,3.5580049,2.811178853152025
54,2018,4,2.3745999876456825,1.8596756636431009,1.7490759,1.9196690339827684
55,2016,4,0.0,1.8879177191262018,1.7774704,1.8670096508584793
56,2014,4,2.7337589606549755,2.7991602735531,2.7898178,2.716141915381192
57,2016,4,1.3887912413184778,2.0404362021728413,1.2112465,1.4626276840045465
58,2018,4,2.4058260644041196,2.401782964593044,2.3414438,2.172930572782271
59,2019,4,3.647192656853313,2.53610572367548,3.3197813,2.532698460647201
60,2017,4,0.0,0.8579678824218919,0.78027713,0.18157636433765822
61,2018,4,0.0,0.8354476561011724,0.58065164,1.368389910238972
62,2017,4,0.0,1.2266567207195176,1.2778051,1.317204533088467
63,2014,4,3.8303452777542586,2.6737181135976686,2.7805796,2.396833048404578
64,2015,4,0.0,1.1119137411003213,0.47336155,0.333254022206277
65,2016,4,2.5128460184772416,2.0033875230634863,2.1871085,2.1302244445707688
66,2014,4,3.464631184072632,2.9795169612335175,2.3505633,3.052601572531704
67,2015,4,3.3562000157314196,2.621104679247356,2.0963552,2.5137255713879485
68,2014,4,0.9960085108256099,2.212969155491222,1.6188117,2.1527219160244675
69,2019,4,1.2550948236067427,1.6429336960102137,1.9784052,1.6553108321295817
70,2015,4,3.0506938316279655,3.2275910712193387,3.0460296,3.050497396573806
71,2019,4,0.521678671008484,2.332882195774016,1.3603518,2.0957209496236935
