,Year,Month,Nominal CPUE,RF,XGBoost,GBDT
46,,,0.355719471,5.2532351317099995,2.2316718,3.4683995164699097
47,,,8.98,18.922332957526663,22.052563,18.837991307496658
48,,,0.0,7.343618569961999,1.2520841,6.052220376304094
49,,,0.0,5.6019371148533335,1.7725083,4.3009324967665945
50,,,2.266301016,24.927693171279998,29.44262,16.075128817983906
51,,,3.815,6.6370051306633275,9.076884,7.493537812354914
52,,,0.0,13.272084538445007,15.664027,12.502807166836952
53,,,7.72,16.44861725671166,21.676744,12.732925300759769
55,,,0.0,4.333150080610002,5.7921953,5.674221297958362
57,,,3.01,1.9422952423500002,0.5216676,3.1924436580743007
58,,,10.08758556,9.271636984344498,7.5984435,7.636599548117573
59,,,37.36680593,11.528145460229997,15.027448,11.856399664263218
60,,,0.0,1.1829132655099996,1.0881201,0.09421691876495178
61,,,0.0,1.03252826625,0.832478,2.3678569793804556
62,,,0.0,2.5519141551100013,1.6035666,2.4406030702094483
63,,,45.07844535,13.797057703490006,17.66965,11.714550880023438
65,,,11.34,5.510839808175,4.102668,6.943968573587186
66,,,30.96466852,16.768301138530003,19.724367,19.355456913187115
67,,,27.68,12.228644660210001,7.0228596,12.896438831660591
68,,,1.707453461,7.2552698282899994,4.5616455,7.495377867301917
69,,,2.508171016,3.3175600614800023,5.0086393,3.912457515545728
70,,,20.13,21.592498493149982,19.99582,24.08057310568264
71,,,0.684853592,9.781643700390008,3.7080946,7.43150051852546
72,,,0.0,2.065672266683334,1.76036,2.798951469552533
73,,,3.97,28.094528650989993,34.611633,24.120933693291892
74,,,55.21,11.640091093029998,7.329831,8.694125544598462
76,,,0.93,8.384238722439997,5.9007163,7.319052617156211
77,,,0.27,0.40243398644999995,0.43880573,0.11990519049872703
79,,,40.905,9.1655615444,1.167001,7.915716099195087
80,,,0.0,11.842829171306665,10.430716,7.624135846959566
81,,,11.55127269,10.356397922120005,5.987938,7.971382228618873
82,,,0.95,1.7027789901000003,3.1227965,1.2146918188219862
83,,,0.338170644,1.4803367327600003,0.5265418,3.4130350414693136
85,,,192.37,18.763936279660005,8.774253,19.323033451497746
