,Year,Month,Q,RF,XGBoost,GBDT
0,2014,11,0.0,9.762139364809999,6.8856206,22.390680599212413
1,2014,11,18.37349821,27.66783311081001,36.960724,67.43660991513352
2,2014,11,0.0,7.12605732796,4.659332,22.390680599212413
3,2014,11,0.0,11.01773768367,6.244317,22.390680599212413
4,2014,11,19.31448934,74.23410938435006,10.012239,21.770074652658803
5,2014,11,11.66503491,54.32575201837001,13.012705,66.1805731801404
6,2014,11,16.49417291,29.203599519203355,12.591274,59.885571163232974
7,2014,11,0.0,0.6453071071166667,2.0826163,16.142574468223504
8,2014,11,42.04604148,161.59273654480003,39.924953,87.75967435883042
9,2014,11,9.334078921,21.298030643203315,10.177198,59.885571163232974
10,2014,11,1.431423697,21.99372638998,1.4659106,16.98194779195582
11,2014,11,587.8706279,415.9676979701403,570.1225,519.9053727998128
12,2014,11,87.90935526,83.62010446750999,72.30683,79.22834149655253
13,2014,11,24.099193,30.78703108335001,17.260838,25.483752929562595
14,2014,11,92.42296888,108.4792171064501,147.55328,80.55577822959283
15,2014,11,0.0,15.79475818418,5.171594,19.347139870356244
16,2014,11,651.5428114,552.6196905476006,585.03253,524.808408534744
17,2014,11,180.4457662,135.28987741464024,115.25756,80.55577822959283
18,2014,11,2.794983872,61.14981239479335,14.063299,35.53730453901907
19,2014,11,0.0,63.34838925019335,13.051051,35.865778551648226
20,2014,11,0.0,19.011422930100004,9.572832,24.008948817390785
21,2015,11,16.28,90.29464012520003,31.271166,47.75593120887187
22,2015,11,364.9,304.2131081406003,351.41577,301.7919960184063
23,2015,11,0.0,154.74758132365002,34.89264,25.265017491763057
24,2015,11,455.77,331.35271981400024,369.12442,254.08297387410104
25,2015,11,221.05,226.21047971009978,213.02475,174.8949475764864
26,2015,11,10.88,52.67031041480002,15.638263,31.13755442030934
27,2015,11,84.44,119.17220913666674,52.8992,48.00096795298285
28,2015,11,141.11,170.62327033190024,160.75401,153.14952850813404
29,2015,11,433.92,341.59555034909937,408.19135,357.67096700985195
30,2015,11,1000.12,785.9831435999997,860.4767,916.973626248432
31,2015,11,0.0,16.663771005485717,5.853531,24.83335182120969
32,2015,11,45.44,146.79299489340002,35.70913,28.884603025717514
33,2015,11,0.0,156.3506725226501,26.176079,109.9925932902182
34,2015,11,0.63,15.51810000000001,7.275169,24.83335182120969
35,2015,11,13.93,40.6252614534333,17.429934,30.705888749755967
36,2015,11,80.04,145.67242510810027,102.85314,148.31677645642142
37,2015,11,138.13,176.4946512145997,138.66992,142.87923892709856
38,2015,11,44.68,116.83708850401014,52.283104,64.30280791290728
39,2015,11,694.46,494.3935487486731,618.86487,609.4379212810802
40,2015,11,389.26,304.40729350867963,360.5627,306.8742723991145
41,2015,11,5.17,49.813629188783345,8.358776,43.32332057308233
42,2015,11,15.41,13.29135340704048,14.897504,31.96991827757608
43,2015,11,77.28,74.76967495738997,76.842,91.8661619892998
44,2015,11,153.82,164.3700674286999,137.871,164.54102053056994
45,2015,11,1.42,13.29135340704048,14.897504,31.96991827757608
46,2015,11,1.31,32.62396740350905,52.508793,25.558549966678196
47,2015,11,64.41,55.9793944279166,53.48777,32.10717602708775
48,2015,11,83.75,80.4039380928,72.23278,85.72298876131568
49,2015,11,65.58,93.24472003949995,77.79247,110.55419462405834
50,2015,11,470.08,323.68649035070047,383.29498,311.7197398075029
51,2015,11,151.76,91.8167073809524,72.328606,35.59408389276763
52,2015,11,208.97,146.18913084499994,146.64769,87.23565331328004
53,2015,11,102.17,97.1712447843,90.25445,104.81971810917757
54,2015,11,41.94,79.1210023818999,57.45543,86.53130888043103
55,2015,11,3.63,91.8167073809524,72.328606,35.59408389276763
56,2015,11,8.64,65.10415384577671,54.662647,58.81905792935962
57,2015,11,108.27,82.20174183095014,79.26268,37.39431631618692
58,2015,11,59.94,73.10238655113989,72.92803,86.23210163608672
59,2015,11,22.28,27.290349996483336,13.17111,25.558549966678196
60,2015,11,169.88,86.21639430071,114.10798,80.2703559076421
61,2015,11,29.77,56.11877549904011,35.174393,71.44556676019558
62,2015,11,28.19,64.56169980659993,37.105247,91.05344786791514
63,2016,11,2.92,50.350251575870026,0.97341955,3.0202700881585307
64,2016,11,16.66,26.03868241079,12.886089,12.58131877119134
65,2016,11,0.0,8.442202506389998,12.186066,24.31442235429652
66,2016,11,31.55,57.114122341860046,41.821922,46.80563501660569
67,2016,11,31.72,28.33651664173997,22.431376,13.25740790305461
68,2016,11,108.36,83.91255722662993,86.071396,59.667924221195804
69,2016,11,26.01,430.32539588546007,664.19763,288.69718592987357
70,2016,11,0.0,3.966758578883332,2.2919877,13.619442258665343
71,2016,11,39.75,25.87806599020001,21.049631,25.43790301833717
72,2016,11,0.0,0.31992611513,2.0681431,1.631812450438274
73,2016,11,0.0,6.39990242687,11.771881,11.192861133471085
74,2016,11,0.0,10.231414732689998,15.74569,23.929516393769575
75,2016,11,0.0,88.16552980473001,23.950136,40.14667357215767
76,2016,11,0.0,0.5147914082400001,4.4272323,1.842712830311657
77,2016,11,0.0,0.39001332929,0.6786002,1.631812450438274
78,2016,11,0.0,1.9624421660199993,4.78745,1.631812450438274
79,2016,11,0.0,20.676957076620003,11.151276,29.08965912091574
80,2016,11,3.43,26.80301135899997,16.790194,41.15022524935097
81,2016,11,40.51,35.77234905970007,17.452082,12.35332160941916
82,2016,11,18.88,40.81166937285005,22.921144,58.51198289997242
83,2016,11,27.44,44.57912094639003,30.249802,58.39975874951514
84,2016,11,49.81,51.01671512150002,38.249935,41.801572850528
85,2016,11,0.0,40.429357327389994,51.7398,43.98604860695887
