,Year,Month,Nominal CPUE,RF,XGBoost,GBDT
0,2019,11,0.0,1.5995425187275936,1.1651827,1.8100001867382634
1,2016,11,1.682688374173693,4.894963343589393,5.061877,4.270572791505955
2,2018,11,0.0,1.7756719303799406,1.8114088,0.7617962539491561
3,2019,11,0.0,3.9386029320818103,4.207958,4.041829525700269
4,2019,11,4.354676195241964,3.02275687260948,3.150557,3.2931428573025836
5,2018,11,0.0,0.10818557014398428,0.27551672,1.381417617153764
6,2019,11,5.3019408497962575,4.486999272014926,4.0607295,4.2427462799532645
7,2018,11,1.5238800240724537,2.5880236128124756,2.9767442,3.0498618041260985
8,2018,11,1.0885619528146082,0.8268413027467321,0.38289195,0.8492938764442527
9,2019,11,0.0,2.3548322180519503,1.7869204,3.5587623080871467
10,2017,11,2.437044369750909,3.775228861300926,3.2435756,3.250425891097014
11,2015,11,4.74493212836325,4.550896704545931,4.2488637,4.216029393248547
12,2018,11,4.795377237056036,4.4774883135159085,4.275905,3.9774283098066854
13,2018,11,0.0,1.3976154096844138,1.2297218,2.4972312746132985
14,2016,11,1.7351891177396608,2.9744913384601475,2.6284556,2.6586195361857445
15,2017,11,1.0643778722887742,5.379218822307099,5.5837693,5.578556096760538
16,2014,11,0.0,2.3555749862743376,2.198603,3.1012904995720834
17,2019,11,0.0,2.617381271705925,2.6787393,3.272290302072824
18,2017,11,0.0,0.6701508276279364,0.4998095,
19,2015,11,2.8914822521801917,3.4864308783915448,4.8373194,3.526261855954647
20,2018,11,0.0,4.893544871616395,5.2216964,4.1529555985921425
21,2019,11,0.0,3.3876970820438785,3.5400498,3.5976890844703124
22,2017,11,2.0285698110533743,3.997399982990554,3.6743748,3.889625457280335
23,2019,11,0.0,1.668446388889232,,2.4208058188679407
24,2015,11,0.0,1.8241122112612815,1.3396294,2.52263292789647
25,2015,11,0.0,1.0242590131807543,1.5163746,0.8851847220995688
26,2019,11,1.6646747365469665,2.399523098386401,2.187663,2.9933822925774995
27,2018,11,0.0,0.8300136306925955,1.5172174,1.506715814078781
28,2017,11,3.1698105699247714,3.792336224620618,2.7534866,3.3873647823128845
29,2018,11,0.0,2.8011550455791068,1.4997206,3.107718754652146
30,2018,11,3.654805473780185,4.124420457698538,4.291991,3.7057953208096572
31,2014,11,0.0,0.911446658064103,1.2617484,0.7832638403538151
32,2019,11,0.0,1.8994804414655044,1.3723832,1.970186929025958
33,2018,11,0.0,2.6032294400917415,2.3921707,0.7039243481876943
34,2019,11,2.106585663328233,3.082845857035115,3.2689636,3.219050925625932
35,2019,11,5.44363457503657,4.605147420185403,5.018434,4.510445834039485
36,2018,11,0.33289441527332897,1.7840312516050878,,
37,2018,11,0.0,0.0,0.25813904,-1.797312532022895
38,2018,11,4.9901604409068705,4.462876769873199,4.5110598,4.079321881270739
39,2014,11,0.0,2.6908746160747135,1.3697094,2.4215913233385185
40,2019,11,6.471404625767717,4.983187367363892,3.9512308,4.300952371862677
41,2018,11,0.0,0.3022467390780251,0.50317097,-0.45779059479569423
42,2017,11,0.0,1.7706896735858944,2.0076833,2.636213486177393
43,2019,11,5.165775517877648,4.5411863151486855,3.7594264,4.080969794143499
44,2014,11,3.2666092220941816,4.17100421839835,4.937946,4.060371187919622
45,2015,11,2.810606789427302,2.202147556947263,1.1450136,
46,2016,11,2.6823904543216326,2.775490295492952,2.8770666,2.781487443650436
47,2017,11,0.0,1.2732737311109819,1.551389,0.5643546948649747
48,2018,11,4.437697832044343,4.205978633382884,3.2971306,3.971600988992293
49,2014,11,0.41800741286639714,2.600411818084868,2.2380166,3.5881866839974417
50,2019,11,1.338508701204589,3.524461226203525,3.1510453,3.7723452658849745
51,2015,11,0.0,1.5240592957699335,-0.37966454,1.8634269813625932
52,2015,11,0.0,2.0296315187221796,1.5438869,1.0777686492116216
53,2017,11,0.0,3.00910349333802,3.017629,3.449590433386406
54,2016,11,1.8547342683894434,2.2834145485020407,0.3523899,1.8011120745577327
55,2018,11,0.0,0.06341378206659262,0.24969824,-1.797312532022895
56,2017,11,0.0,2.2233263953095097,2.4031653,2.6586195361857445
57,2017,11,4.462324843396552,4.266151648508222,3.5235708,3.9220922240580807
58,2018,11,0.0,1.747796186371261,1.0439405,1.8568126469477324
59,2017,11,0.0,1.4776993689616922,,2.049153996910207
60,2019,11,4.6193059052766525,4.747120072309853,3.8246417,4.092557207267422
61,2018,11,4.581799199664851,4.499638865376651,4.7098956,4.46595607865777
62,2018,11,2.1424163408412245,2.6439070379722134,2.268898,3.0498618041260985
63,2018,11,0.887891257352457,2.3496900222262354,1.9137316,1.5287068321644308
64,2015,11,6.449158345318021,3.8544902305168587,4.1905966,4.014184446065831
65,2017,11,2.8683174309259463,1.5599225827669634,0.89162904,0.8783052379772774
66,2015,11,2.8786365016777435,2.1901806189801025,1.2128227,1.3632026520164042
67,2018,11,0.0,0.06428848988236187,0.23659176,-1.986374982008619
68,2019,11,1.6226143612926602,2.829253881187346,1.8138626,3.5093082294074476
69,2017,11,0.0,2.045826053524602,1.1967515,0.8241924172965013
70,2018,11,2.4595888418037104,3.7816257567169913,4.099305,3.944283322017722
71,2017,11,0.0,0.860188118873237,1.3329595,-2.6884981587619876
72,2018,11,5.383072032412845,3.8588882130077184,3.9909115,4.102812854382187
