,Year,Month,E,RF,XGBoost,GBDT
0,2014,11,0.0,1.25691291318,2.881667,4.953651126930385
1,2014,11,25.22227452,67.49991698226333,103.62384,23.790354836191725
2,2014,11,0.0,0.8964142387583333,1.1052312,5.010369173386402
3,2014,11,3.025449857,2.9242129884300043,3.80682,3.980583159848414
4,2014,11,1.643556626,9.381825799843313,2.7540274,3.980583159848414
5,2014,11,0.0,14.630575756940003,3.329349,17.218306004239118
6,2014,11,3.607495607,22.154851220809977,5.0069294,45.481707849001374
7,2014,11,0.0,1.7381431030999999,1.6027261,4.403170397198161
8,2014,11,0.0,19.905011156510003,0.79254407,18.85325358031405
9,2014,11,30.0517312,50.91407203429006,29.373297,55.18302064962949
10,2014,11,0.0,11.991123732500006,1.52694,12.820573838223359
11,2014,11,240.0026874,159.3738701675098,223.23772,105.09132692909662
12,2014,11,115.65407,87.40995279071991,93.15018,74.74159968737254
13,2014,11,4.67651219,11.361982423953345,4.7005367,22.13053152305451
14,2014,11,408.4102292,298.4952048866264,383.09207,277.8994491884442
15,2014,11,10.88065135,11.736843022660015,8.993739,21.887286905111868
16,2014,11,3.133071899,64.89069710419,6.189609,81.06936445916064
17,2014,11,190.5020433,179.09821891442027,178.02907,102.1063878413961
18,2014,11,0.0,47.765488849830014,40.46331,57.418590919595644
19,2014,11,0.518931934,54.201294977840014,40.46331,59.41802299043827
20,2014,11,8.601845433,8.632704561489998,9.277584,11.020623386908618
21,2015,11,3.09,4.260199999999993,3.7019908,20.47944356061266
22,2015,11,1.54,16.794612403949994,1.7734427,23.618593697371566
23,2015,11,15.62,8.625906513499991,6.317674,2.893936544512421
24,2015,11,5.97,74.15507249285005,5.1480794,50.03607488764968
25,2015,11,5.58,24.718857409519988,6.802014,39.8116125255987
26,2015,11,8.4,7.1255999999999915,7.623107,12.548452292229095
27,2015,11,17.02,28.310878734560003,94.72103,30.04323039260638
28,2015,11,614.48,413.3096736808204,555.7228,408.4186160360151
29,2015,11,8.56,95.939808304,9.862971,31.57275426140631
30,2015,11,0.0,22.730099999999997,3.867762,45.80072723462202
31,2015,11,0.0,13.493400000000001,0.32772025,21.316407968768676
32,2015,11,16.79,11.993106513499988,13.080819,3.941620190843472
33,2015,11,0.47,33.201491036289966,1.3965826,46.70445842391397
34,2015,11,0.0,13.545399999999999,0.16895542,31.28487081004616
35,2015,11,0.0,26.310344235989998,0.45003352,30.185401663875073
36,2015,11,112.67,118.91722522795006,95.926254,96.81956813392553
37,2015,11,5.27,31.078240699999988,6.8962126,39.55532939981853
38,2015,11,15.57,97.85279907256991,16.301805,71.1863734236524
39,2015,11,54.97,62.39313237016668,46.728046,58.54294404754237
40,2015,11,631.17,418.7419406999993,568.5597,345.82507233838805
41,2015,11,0.0,3.4884065134999984,-1.299272,8.481349618679795
42,2015,11,0.0,10.538896666666657,1.6988659,4.425884255971918
43,2015,11,0.0,16.96421752095,6.057819,37.524821118341954
44,2015,11,1.02,27.760081157879984,11.444969,71.38006159828161
45,2015,11,4.66,10.538896666666657,1.6988659,4.425884255971918
46,2015,11,0.0,1.634826054,3.0052674,6.004074428388299
47,2015,11,0.0,3.10776340349,2.5898385,5.581487191038555
48,2015,11,54.71,51.119592675099994,47.17945,41.78783368830993
49,2015,11,98.41,76.57334925517995,85.38516,72.81776682938903
50,2015,11,44.21,60.25033721185002,47.12615,71.38006159828161
51,2015,11,0.0,1.00308150315,2.4834661,9.263235994795071
52,2015,11,56.28,58.06453792479998,60.793816,41.456887572758795
53,2015,11,217.66,150.37156773320993,160.06236,96.05782942221151
54,2015,11,25.7,59.38162549629991,32.52925,77.5812383799118
55,2015,11,0.0,1.00308150315,2.4834661,9.263235994795071
56,2015,11,0.0,17.754576861780002,3.99668,8.523444122707932
57,2015,11,11.95,13.746508379980014,9.836679,9.083766739304501
58,2015,11,63.04,78.46239764127999,70.14448,65.94045360894617
59,2015,11,0.0,2.0231776947,3.7044587,10.31713937280608
60,2015,11,114.0,74.90600448112998,46.428047,45.18723813650742
61,2015,11,171.72,146.4938274895566,167.90915,103.56516346997343
62,2015,11,223.94,172.00976601990016,214.69934,142.97025335133563
63,2016,11,0.0,0.059699999999999996,0.13235112,11.026044679478781
64,2016,11,5.39,4.779902322240001,5.929788,4.222353506882997
65,2016,11,2.57,4.919427622179996,2.653539,10.824848954698082
66,2016,11,10.58,14.89186937731999,12.433699,13.557903070545246
67,2016,11,0.0,5.03385407084,2.521706,4.222353506882997
68,2016,11,28.54,21.17976202390998,16.120619,14.21342436485982
69,2016,11,4.67,85.48873190371002,49.5401,72.16462570959817
70,2016,11,0.0,1.0948887737800002,1.1109995,1.0609213980968928
71,2016,11,11.9,10.259986269059992,9.79037,29.57871876060945
72,2016,11,0.0,1.5420200969200002,1.4726491,1.057581838201271
