,Year,Month,Nominal CPUE,RF,XGBoost,GBDT
46,,,1.65,4.938562890060001,0.94162077,2.245538345118924
47,,,2.99,1.674553475861667,2.9685578,4.099075902841341
48,,,1.77669988,6.536617035778335,4.2478795,5.528647373820879
49,,,0.802856636,9.650095416423335,1.2656095,18.00332382682501
50,,,1.308066359,7.558431876765,3.9473178,3.4018045734138425
51,,,1.08,7.746502736349994,17.519726,6.767683856701937
52,,,4.342000794,11.282607529910003,12.842367,8.44949922818486
53,,,0.0,3.465279838651666,2.0995312,4.329888410457688
55,,,0.96,6.51514377118,8.293271,6.715244504642264
57,,,4.67,3.141194537949997,2.682422,4.251895362938076
58,,,0.0,7.0926011866968315,5.5144167,5.5175359376010755
59,,,54.37510896,9.648105507459992,4.458858,19.086958840615637
60,,,0.0,0.39503302503,0.27961847,0.9023087852866104
61,,,0.0,1.0219806721799995,0.8473149,0.9023087852866104
62,,,1.43,2.254395635650001,2.9022775,2.483446382683264
63,,,0.213431683,9.261772341716659,5.980398,6.554495216945486
65,,,4.24,3.4271249170400004,6.7854495,6.008225565759552
66,,,0.749856645,31.25283527283999,18.075302,10.172425808760256
67,,,12.92,3.3279570305100004,1.8369305,1.948455415238445
68,,,0.668133963,3.433216928423334,1.8846973,1.7973696908693286
69,,,1.441477595,0.9465471522099999,1.2133317,1.8880256722661215
70,,,2.36,7.241141981423331,2.7831283,7.3993245033751
71,,,0.05803844,3.6502911205233346,4.932268,3.197490324427576
72,,,0.0,0.31077581515,-0.37803546,1.3512606035688954
73,,,29.56,13.207000587350013,18.885015,7.878607011417332
74,,,1.0,14.293612566319997,7.874887,7.104029818665968
76,,,0.0,5.313323679129999,2.289785,3.4794854752329143
77,,,0.0,0.10787323264,0.34834608,0.8741169109730229
79,,,0.04,4.431447548025001,1.4775146,2.346424513351707
80,,,1.91,5.3578939552149984,10.064161,5.051633252834803
81,,,0.0,7.639385583356663,6.546159,5.039504621357688
82,,,0.0,0.8072266183300001,0.5154206,0.9023087852866104
83,,,0.0,0.7077022162900002,0.71032214,1.3512606035688954
85,,,1.01,3.565506658449999,1.2226205,3.411835145507571
